"scenario_id","n","beta_treat","error_type","method","bias","coverage","mean_width","mean_time"
1,10,0,"normal","boot_percentile",-0.0234062530535595,0.951476793248945,5.8730412420645,0.195191578947377
1,10,0,"normal","boot_t",-0.0234062530535595,0.79746835443038,3.60264411039759,19.1996189473684
1,10,0,"normal","wald",-0.0234062530535595,0.911392405063291,4.05140258376687,0.00136210526314486
2,50,0,"normal","boot_percentile",-0.0179639434894125,0.930526315789474,1.58722178746677,0.208753684210542
2,50,0,"normal","boot_t",-0.0179639434894125,0.949473684210526,1.68136893037381,20.5733157894737
2,50,0,"normal","wald",-0.0179639434894125,0.934736842105263,1.61107617445705,0.00137894736841936
3,500,0,"normal","boot_percentile",0.000111837501513908,0.966315789473684,0.490648615172546,0.277181052631574
3,500,0,"normal","boot_t",0.000111837501513908,0.957894736842105,0.500829585821615,27.8869284210526
3,500,0,"normal","wald",0.000111837501513908,0.966315789473684,0.496717582581851,0.00141263157898346
4,10,0.5,"normal","boot_percentile",-0.0234062530535595,0.951476793248945,5.8730412420645,0.193962105263126
4,10,0.5,"normal","boot_t",-0.0234062530535595,0.79746835443038,3.60264411039759,19.0785221052631
4,10,0.5,"normal","wald",-0.0234062530535595,0.911392405063291,4.05140258376687,0.00133684210530258
5,50,0.5,"normal","boot_percentile",-0.0179639434894124,0.930526315789474,1.58722178746677,0.20858315789473
5,50,0.5,"normal","boot_t",-0.0179639434894124,0.949473684210526,1.68136893037381,20.5560884210527
5,50,0.5,"normal","wald",-0.0179639434894124,0.934736842105263,1.61107617445705,0.0014084210526218
6,500,0.5,"normal","boot_percentile",0.000111837501514152,0.966315789473684,0.490648615172546,0.277530526315783
6,500,0.5,"normal","boot_t",0.000111837501514152,0.957894736842105,0.500829585821615,27.9038673684211
6,500,0.5,"normal","wald",0.000111837501514152,0.966315789473684,0.496717582581851,0.00146315789473395
7,10,2,"normal","boot_percentile",-0.0234062530535595,0.951476793248945,5.8730412420645,0.193463157894761
7,10,2,"normal","boot_t",-0.0234062530535595,0.79746835443038,3.60264411039759,19.0475705263158
7,10,2,"normal","wald",-0.0234062530535595,0.911392405063291,4.05140258376687,0.00134315789471208
8,50,2,"normal","boot_percentile",-0.017963943489412,0.930526315789474,1.58722178746677,0.208147368421047
8,50,2,"normal","boot_t",-0.017963943489412,0.949473684210526,1.68136893037381,20.4913305263158
8,50,2,"normal","wald",-0.017963943489412,0.934736842105263,1.61107617445705,0.00136631578947089
9,500,2,"normal","boot_percentile",0.00011183750151512,0.966315789473684,0.490648615172545,0.27727157894736
9,500,2,"normal","boot_t",0.00011183750151512,0.957894736842105,0.500829585821615,27.8805073684211
9,500,2,"normal","wald",0.00011183750151512,0.966315789473684,0.496717582581851,0.00144421052629153
10,10,0,"t3","boot_percentile",0.06796799093693,0.951374207188161,5.32122688497464,0.194233684210532
10,10,0,"t3","boot_t",0.06796799093693,0.813953488372093,3.76734345683721,19.1338252631579
10,10,0,"t3","wald",0.06796799093693,0.917547568710359,3.65761759360174,0.00115368421051805
11,50,0,"t3","boot_percentile",0.00257565458813994,0.930526315789474,1.51912909272727,0.208795789473669
11,50,0,"t3","boot_t",0.00257565458813994,0.922105263157895,1.66283044556876,20.5936147368421
11,50,0,"t3","wald",0.00257565458813994,0.936842105263158,1.53398484743132,0.00117052631577505
12,500,0,"t3","boot_percentile",-0.00387735399464846,0.932631578947368,0.482046509385888,0.277772631578932
12,500,0,"t3","boot_t",-0.00387735399464846,0.926315789473684,0.493843444981726,27.882507368421
12,500,0,"t3","wald",-0.00387735399464846,0.947368421052632,0.486435048591447,0.00117684210527978
13,10,0.5,"t3","boot_percentile",0.06796799093693,0.951374207188161,5.32122688497464,0.192943157894728
13,10,0.5,"t3","boot_t",0.06796799093693,0.813953488372093,3.76734345683721,18.9796505263158
13,10,0.5,"t3","wald",0.06796799093693,0.917547568710359,3.65761759360174,0.00125052631580485
14,50,0.5,"t3","boot_percentile",0.00257565458814004,0.930526315789474,1.51912909272727,0.207193684210534
14,50,0.5,"t3","boot_t",0.00257565458814004,0.922105263157895,1.66283044556876,20.419812631579
14,50,0.5,"t3","wald",0.00257565458814004,0.936842105263158,1.53398484743132,0.00115157894734167
15,500,0.5,"t3","boot_percentile",-0.00387735399464799,0.932631578947368,0.482046509385888,0.274848421052591
15,500,0.5,"t3","boot_t",-0.00387735399464799,0.926315789473684,0.493843444981726,27.5337705263158
15,500,0.5,"t3","wald",-0.00387735399464799,0.947368421052632,0.486435048591447,0.00120210526317364
16,10,2,"t3","boot_percentile",0.0679679909369299,0.951374207188161,5.32122688497464,0.189663157894713
16,10,2,"t3","boot_t",0.0679679909369299,0.813953488372093,3.76734345683721,18.6608294736842
16,10,2,"t3","wald",0.0679679909369299,0.917547568710359,3.65761759360174,0.00113263157897598
17,50,2,"t3","boot_percentile",0.00257565458814035,0.930526315789474,1.51912909272727,0.203608421052656
17,50,2,"t3","boot_t",0.00257565458814035,0.922105263157895,1.66283044556876,20.0526210526316
17,50,2,"t3","wald",0.00257565458814035,0.936842105263158,1.53398484743132,0.00114736842104731
18,500,2,"t3","boot_percentile",-0.00387735399464661,0.932631578947368,0.482046509385888,0.263162105263143
18,500,2,"t3","boot_t",-0.00387735399464661,0.926315789473684,0.493843444981726,26.4226989473684
18,500,2,"t3","wald",-0.00387735399464661,0.947368421052632,0.486435048591447,0.00116421052631427
